Label,Pitch,ZCR,Average Energy,Spectral Centroid
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.         176.64303401 190.41804342 189.32131619
 194.8688542  204.08500573 204.08500573 201.74088951 200.57894748
 204.08500573 204.08500573 204.08500573 204.08500573 204.08500573
 205.26725814 205.26725814]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03027344 0.08251953 0.08837891 0.11230469
 0.15820312 0.15380859 0.18408203 0.20800781 0.16113281 0.13964844
 0.12890625 0.09521484 0.07910156 0.07519531 0.10546875 0.13916016
 0.12548828 0.10302734]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.1164812e-09
 8.0826000e-04 5.8465404e-03 2.1632574e-02 3.5430726e-02 6.1632250e-02
 8.0039509e-02 8.4906265e-02 8.2873017e-02 6.8105489e-02 4.7195822e-02
 3.2603092e-02 2.5357150e-02 1.8177742e-02 1.0005934e-02 5.2977256e-03
 1.3456588e-03 3.0600122e-04]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.         6611.38874158
 1298.09078301  800.97363053 1261.10114312 1828.2052313  2462.73020815
 2609.2465192  2360.27131354 2102.17742508 1975.57775788 1746.42737444
 1592.38580972 1465.82042944 1227.74179595 1093.20664946 1082.77263871
 1315.54540619 1481.38574044]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.         210.06515286 186.0688893  197.13312122
 200.57894748 207.65234879 227.75828325 222.55627687 222.55627687
 221.27444703 220.         225.14225624 225.14225624 211.28204791
 200.57894748 197.13312122 184.99721136 201.74088951 198.27510177
 200.57894748   0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05859375 0.08251953 0.08837891
 0.09521484 0.04541016 0.03710938 0.04248047 0.046875   0.05078125
 0.05224609 0.05078125 0.046875   0.03857422 0.02636719 0.02246094
 0.01953125 0.02001953 0.02099609 0.03515625 0.09375    0.20605469
 0.25634766 0.23632812]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0546470e-06
 2.8771714e-03 8.2754102e-03 2.4980845e-02 3.9496988e-02 4.3034203e-02
 4.5635097e-02 4.2726401e-02 3.3144273e-02 3.1461906e-02 2.9312650e-02
 2.6093407e-02 2.3458671e-02 2.0276526e-02 1.6147953e-02 1.2004437e-02
 8.1521813e-03 3.7762118e-03 2.1070368e-03 9.5503096e-04 3.8757763e-04
 5.5606281e-05 2.8544950e-05]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.         3542.57452677
 1099.34638305  585.4356842   357.43086199  618.35902952  835.0518616
  929.81547639 1159.47285696 1250.47095906 1252.58041353 1267.62348633
 1078.41656219  817.27967967  578.10078635  454.03540572  404.51058676
  429.44828716  444.93804662  525.40258443  808.04072986 2000.47740355
 3181.57112579 3559.10142882]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         186.0688893  198.27510177 179.73069986 186.0688893
 192.63059451 194.8688542  194.8688542  193.74649219 189.32131619
 187.14677541 178.6955272 ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.05517578 0.06054688 0.06689453 0.07519531 0.03173828
 0.03710938 0.04736328 0.04980469 0.04833984 0.04833984 0.03662109
 0.09179688 0.08154297]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00180967 0.00959777 0.03130054 0.06027833 0.08619692
 0.10589691 0.11302432 0.10322221 0.08467286 0.05849081 0.03306093
 0.02407144 0.0162806 ]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.          830.9152703
  563.80522351  444.98453579  687.08456268  950.63219133 1208.42021107
 1383.58232474 1434.5165057  1559.90760156 1592.44554564 1324.81671936
 1315.08816509 1155.77647596]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.         223.84553226 216.22053168 230.40470702 233.08188076
 231.73942791 223.84553226]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.07568359 0.07568359
 0.08056641 0.09033203 0.02490234 0.03564453 0.03515625 0.02929688
 0.07617188 0.06542969]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 2.1773139e-13 4.9723318e-04 1.2379488e-03 5.0838836e-03
 2.2568911e-02 4.7096033e-02 5.7727482e-02 6.1637629e-02 5.8233656e-02
 4.1017979e-02 2.3806797e-02]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.         3679.01767846 1560.26686959 1116.21385434  648.65361213
  578.07433359  693.00317867  709.57394724  678.29790242  527.25940727
  417.92133682  389.60955039]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
 320.24370023 331.53706992 383.04224785 387.49298438 387.49298438
 389.73770841 394.26624244 396.55020355 398.84739551 396.55020355
 387.49298438 383.04224785 380.83608684 378.64263239 374.29355082
 372.1377786  380.83608684]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.03857422
 0.07470703 0.08154297 0.08886719 0.0703125  0.06103516 0.08544922
 0.10839844 0.13134766 0.14111328 0.13916016 0.11962891 0.08447266
 0.05712891 0.03662109 0.03466797 0.03417969 0.03417969 0.08398438
 0.10644531 0.09814453]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 8.0434936e-10 1.6707850e-03 8.9417445e-03 2.3485733e-02
 4.5256793e-02 6.7470387e-02 8.5566938e-02 9.7630255e-02 1.0151440e-01
 1.0458587e-01 9.8150104e-02 9.1083027e-02 8.9194663e-02 7.9773933e-02
 7.7418037e-02 7.2648302e-02 5.9440862e-02 4.4593487e-02 2.8595131e-02
 1.3754746e-02 2.0191038e-03]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.         3225.61079687  526.17082453  313.04944116  346.35814794
  995.08722187 1688.69254755 2224.30108001 2423.89731416 2500.31947372
 2443.12745531 2175.63600303 1863.99806367 1534.96143134 1140.1258433
  739.53912349  621.94812186  532.94667518  443.01436494  377.66648213
  563.74402572  969.32500648]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.         437.46578648
 398.84739551 396.55020355 363.63813999 357.3910544  361.54373842
 341.2518476  376.4618113  376.4618113  380.83608684 385.26118902
 387.49298438 385.26118902 378.64263239 369.99442271 369.99442271
 369.99442271 369.99442271]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04589844 0.06982422 0.07958984 0.08984375 0.05859375 0.04785156
 0.04589844 0.046875   0.05615234 0.06347656 0.08154297 0.09033203
 0.08056641 0.06884766 0.05078125 0.03955078 0.03320312 0.04248047
 0.10986328 0.1015625 ]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 1.9679011e-12 4.5315439e-05 1.7011441e-04 2.0419691e-04
 2.4310341e-04 2.6554515e-04 1.1928185e-03 1.0540731e-02 3.0838974e-02
 4.6946406e-02 6.4409450e-02 7.6582275e-02 7.9538465e-02 7.8466460e-02
 7.4558459e-02 6.7947589e-02 6.4788587e-02 6.2784418e-02 5.2200586e-02
 4.2925104e-02 3.0990385e-02]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.         3492.08009087 1589.74831945 1531.85313106 1467.84412863
 1406.33359617 1228.31870974 1350.43934875  453.33539181  520.3324324
 1442.8595558  2031.47381787 2384.59839326 2327.39641895 2203.77013281
 1920.97376931 1357.96264615  818.97139005  733.4729004   675.13320292
  789.58049014 1271.92081589]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.         205.26725814
 202.90956259 201.74088951 201.74088951 200.57894748 200.57894748
 197.13312122 187.14677541 183.93170582 182.87233715 186.0688893
   0.           0.        ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.06982422 0.10449219 0.13964844 0.16699219
 0.1171875  0.10498047 0.09375    0.08349609 0.08300781 0.07226562
 0.05615234 0.04394531 0.02832031 0.04248047 0.06689453 0.09423828
 0.14990234 0.12402344]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.93459570e-12 1.07828302e-04 1.27260908e-04
 1.39085067e-04 4.67967195e-03 3.84153575e-02 7.49504939e-02
 1.06217325e-01 1.22164309e-01 1.26906142e-01 1.13851301e-01
 9.08268467e-02 7.56817535e-02 6.05588555e-02 5.27387187e-02
 4.31448855e-02 2.68315207e-02 1.20576089e-02 5.70944790e-03]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.         3926.01657581 1652.73167292
 1567.88031293 1554.25167545 1384.06365519 1081.05422882 1094.60865266
 1076.6296365  1046.42047943 1030.61840288 1015.49414404  829.63484038
  488.71724328  286.639969    270.93265829  547.33032782  875.52164753
  935.24155908  881.30487249]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.         304.02083359
 291.97338331 345.21700307 367.86341165 372.1377786  376.4618113
 378.64263239 372.1377786 ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.0625     0.0703125
 0.07861328 0.14697266 0.15283203 0.17480469 0.18017578 0.12158203
 0.10693359 0.07714844]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 5.8881168e-12 6.3663610e-04 3.4420681e-03 1.1238366e-02
 3.3090912e-02 4.4724457e-02 5.0559923e-02 5.1340196e-02 4.2780709e-02
 3.0587956e-02 1.9187275e-02]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.         3668.33331887 1747.69511258 1457.51228433 1100.70982908
 2209.9194035  2703.5364747  2889.09287636 2777.48062945 2415.0282209
 2102.06852859 1612.40614447]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.         285.30470202
 280.40333801 278.78833362 298.79793764 298.79793764 290.29174037
 288.61978298 288.61978298 282.02769802 280.40333801 272.42079928
 272.42079928 273.99891692 280.40333801 291.97338331 298.79793764
 300.52885649 295.36595061]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01806641
 0.06787109 0.07421875 0.08056641 0.0859375  0.06787109 0.09179688
 0.10986328 0.10693359 0.09326172 0.06884766 0.05029297 0.03662109
 0.02441406 0.02539062 0.02587891 0.02636719 0.03417969 0.10644531
 0.14111328 0.13427734]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 1.1315641e-09 1.2487254e-02 2.9782269e-02 4.3736212e-02
 6.0013633e-02 7.3795699e-02 8.0230579e-02 9.5315501e-02 9.9026166e-02
 9.8806739e-02 9.1097325e-02 7.0278853e-02 5.3189568e-02 3.3976641e-02
 3.3391114e-02 2.9954581e-02 2.6135309e-02 2.0282576e-02 1.3881963e-02
 9.7996695e-03 3.2134573e-03]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.         2525.90069355  388.51210959  257.04443412  239.38450855
  491.07317582 1132.14712389 1676.34291361 1865.62287985 1676.02179875
 1603.20863798 1619.34346886 1393.79645029 1104.46700935  715.27148392
  549.06369857  377.91729764  306.71887642  291.73691635  284.71104682
  378.40566947 1473.69321031]"
biên,"[  0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.         320.24370023 329.62755691
 263.14114678 249.8109744  249.8109744  263.14114678 280.40333801
 283.66146786 285.30470202 286.95745535 282.02769802 278.78833362
 273.99891692 273.99891692 273.99891692 275.5861765  282.02769802
 285.30470202 285.30470202]","[0.22119141 0.33349609 0.4296875  0.41113281 0.43310547 0.42529297
 0.46679688 0.50683594 0.51171875 0.40722656 0.27001953 0.16894531
 0.04638672 0.05224609 0.05810547 0.02441406 0.02441406 0.03955078
 0.04882812 0.06201172 0.0703125  0.06787109 0.06738281 0.05566406
 0.04638672 0.03417969 0.02587891 0.02490234 0.02539062 0.02587891
 0.0703125  0.06396484]","[1.1767889e-03 1.7508152e-03 2.0914993e-03 2.1506187e-03 1.8615874e-03
 1.3539696e-03 7.3662959e-04 3.9468490e-04 2.6267880e-04 1.4405687e-04
 4.8445119e-05 3.9392424e-05 1.5614454e-03 4.3772575e-03 1.2703950e-02
 2.4009902e-02 3.3443984e-02 4.5357089e-02 5.3818561e-02 5.9897155e-02
 7.7096641e-02 8.7630138e-02 8.8695735e-02 8.3872840e-02 6.6346727e-02
 4.3857705e-02 3.0328350e-02 2.6590491e-02 2.1208560e-02 1.5426858e-02
 8.5077826e-03 3.3316724e-03]","[3379.42180635 3552.17055752 3636.15661518 3590.23832113 3555.5233564
 3765.19491622 3877.49362745 3875.0385674  4035.84998257 4186.50521761
 4060.76736742 3794.71432379  350.05136259  281.39561751  241.16068612
  221.90037094  267.96966849  730.81408572 1197.77279719 1479.37961831
 1503.13191089 1380.03953248 1326.9449255  1263.75225378 1139.91150708
  738.74894803  469.03359934  339.99639322  301.98524712  313.76720715
  353.29126726  420.96117909]"
